Period,Alcohol Type,Alcohol Sub Type,Alcohol Content,Clearance Origin,Value,Measure Type,Unit,Marker
year/2007,wine,All,All,All,2537.7,wine-duty-receipts,gbp-million,
year/2007,wine,All,All,All,8103.1,alcohol-duty-receipts,gbp-million,
year/2008,wine,Still,up to 15% abv,All,12426433.65,clearances,hectolitres,
year/2008,wine,Sparkling,up to 15% abv,All,748144.95,clearances,hectolitres,
year/2008,wine,All,over 15% abv,All,319984.56,clearances,hectolitres,
year/2008,wine,All,over 5.5% abv,Ex-ship,4932154.8,clearances,hectolitres,
year/2008,wine,All,over 5.5% abv,Ex-warehouse,8544931.84,clearances,hectolitres,
year/2008,wine,All,over 5.5% abv,UK Origin,17476.52,clearances,hectolitres,
year/2008,wine,All,All,All,13494563.16,clearances,hectolitres,
year/2008,wine,All,All,All,2804.0,wine-duty-receipts,gbp-million,
year/2008,wine,All,All,All,8689.0,alcohol-duty-receipts,gbp-million,
year/2009,wine,Still,up to 15% abv,All,11738731.88,clearances,hectolitres,
year/2009,wine,Sparkling,up to 15% abv,All,721708.53,clearances,hectolitres,
year/2009,wine,All,over 15% abv,All,216248.97,clearances,hectolitres,
year/2009,wine,All,over 5.5% abv,Ex-ship,5040844.81,clearances,hectolitres,
year/2009,wine,All,over 5.5% abv,Ex-warehouse,7611847.93,clearances,hectolitres,
year/2009,wine,All,over 5.5% abv,UK Origin,23996.63,clearances,hectolitres,
year/2009,wine,All,All,All,12676689.38,clearances,hectolitres,
year/2009,wine,All,All,All,2863.0,wine-duty-receipts,gbp-million,
year/2009,wine,All,All,All,8746.0,alcohol-duty-receipts,gbp-million,
year/2010,wine,Still,up to 15% abv,All,11896446.68,clearances,hectolitres,
year/2010,wine,Sparkling,up to 15% abv,All,794491.33,clearances,hectolitres,
year/2010,wine,All,over 15% abv,All,216077.97,clearances,hectolitres,
year/2010,wine,All,over 5.5% abv,Ex-ship,4783582.96,clearances,hectolitres,
year/2010,wine,All,over 5.5% abv,Ex-warehouse,8101095.47,clearances,hectolitres,
year/2010,wine,All,over 5.5% abv,UK Origin,22337.56,clearances,hectolitres,
year/2010,wine,All,All,All,12907015.98,clearances,hectolitres,
year/2010,wine,All,All,All,3082.37,wine-duty-receipts,gbp-million,
year/2010,wine,All,All,All,9317.39,alcohol-duty-receipts,gbp-million,
year/2011,wine,Still,up to 15% abv,All,11843704.0,clearances,hectolitres,
year/2011,wine,Sparkling,up to 15% abv,All,799538.02,clearances,hectolitres,
year/2011,wine,All,over 15% abv,All,216516.59,clearances,hectolitres,
year/2011,wine,All,over 5.5% abv,Ex-ship,4686446.38,clearances,hectolitres,
year/2011,wine,All,over 5.5% abv,Ex-warehouse,8155570.61,clearances,hectolitres,
year/2011,wine,All,over 5.5% abv,UK Origin,17741.63,clearances,hectolitres,
year/2011,wine,All,All,All,12859758.62,clearances,hectolitres,
year/2011,wine,All,All,All,3305.9,wine-duty-receipts,gbp-million,
year/2011,wine,All,All,All,9866.76,alcohol-duty-receipts,gbp-million,
year/2012,wine,Still,up to 15% abv,All,11705404.94,clearances,hectolitres,
year/2012,wine,Sparkling,up to 15% abv,All,872345.32,clearances,hectolitres,
year/2012,wine,All,over 15% abv,All,223867.41,clearances,hectolitres,
year/2012,wine,All,over 5.5% abv,Ex-ship,4620328.33,clearances,hectolitres,
year/2012,wine,All,over 5.5% abv,Ex-warehouse,8161813.53,clearances,hectolitres,
year/2012,wine,All,over 5.5% abv,UK Origin,19475.81,clearances,hectolitres,
year/2012,wine,All,All,All,12801617.67,clearances,hectolitres,
year/2012,wine,All,All,All,3467.09,wine-duty-receipts,gbp-million,
year/2012,wine,All,All,All,10201.39,alcohol-duty-receipts,gbp-million,
year/2013,wine,Still,up to 15% abv,All,11585698.74,clearances,hectolitres,
year/2013,wine,Sparkling,up to 15% abv,All,925117.57,clearances,hectolitres,
year/2013,wine,All,over 15% abv,All,227716.73,clearances,hectolitres,
year/2013,wine,All,over 5.5% abv,Ex-ship,4351348.65,clearances,hectolitres,
year/2013,wine,All,over 5.5% abv,Ex-warehouse,8371573.61,clearances,hectolitres,
